ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,temperature,precipitation_mm,Latitud,Longitud,year_measure,TYPE_CHANGE,years_since_luc,CROP_current,CROP_type,land_use,N_measured,soil_from_cm,soil_to_cm,depth_midpoint,bulk_density_Mg_m3,%clay,%silt,%sand,ph,SOC_Mg_ha,Period,delta_SOC_Mgha,%delta_SOC,csp_rank,csp_change,luc_rank
368,28,104,Germany,Allendorf,Boreal,,Cambisol,9.0,630.0,51.066,8.73,2011.0,LUC,8.0,Poplar,woody,SRC,4.0,4.333333333333333,14.333333333333334,9.333333333333334,1.4333333333333331,18.2,34.4,47.4,,1.6333333333333335,1,0.15000000000000036,10.112359550561823,3.0,2.0,5.0
372,28,105,Germany,Dornburg,Boreal,,Luvisol,8.8,585.0,51.0,11.65,2011.0,LUC,12.0,Poplar,woody,SRC,4.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,28.0,67.5,4.5,,2.2500000000000004,1,0.38333333333333397,20.53571428571432,3.0,2.0,5.0
376,28,106,Germany,Dornburg,Boreal,,Luvisol,8.8,585.0,51.0,11.65,2011.0,LUC,16.0,Poplar,woody,SRC,4.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,28.0,67.5,4.5,,2.2333333333333334,1,0.3833333333333333,20.720720720720717,3.0,2.0,5.0
380,28,107,Germany,Forst,Boreal,,Greysol,8.3,590.0,51.7833,14.616,2011.0,LUC,20.0,Black_locust,woody,SRC,4.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,10.6,32.7,51.79999999999999,,1.7,1,0.1499999999999999,9.677419354838705,3.0,2.0,5.0
384,28,108,Germany,Forst,Boreal,,Greysol,8.3,590.0,51.7833,14.616,2011.0,LUC,24.0,Poplar,woody,SRC,4.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,10.6,32.7,51.79999999999999,,1.2333333333333334,1,-0.05666666666666664,-4.392764857881136,3.0,2.0,5.0
410,32,121,UK,south_of_England,Temperate,,Silt_loam,10.0,770.0,50.966,-0.45,2012.0,LUC,3.0,Willow,woody,SRC,15.0,0.0,30.0,15.0,,7.38,59.44,33.19,,42.6,1,-18.6,-30.3921568627451,3.0,0.0,3.0
441,36,133,Spain,Murcia_los_Alguaciles,Arid,,Calcisol,16.6,330.0,37.866,-1.716,,LUC,4.0,Almond,woody,perennial_woody,3.0,0.0,15.0,7.5,1.08,,,,,43.09,1,14.360000000000003,49.982596588931436,2.0,1.0,4.0
442,37,134,Spain,Murcia_Cehegin,Arid,,Calcic_Haploxerept,16.6,330.0,38.05,-1.716,,LUC,4.0,Almond,woody,perennial_woody,3.0,0.0,15.0,7.5,1.09,,,,,42.84,1,14.110000000000003,49.11242603550297,2.0,1.0,4.0
446,39,138,Costa_rica,Sarapiqui,Tropical,Volcanic,,23.0,4065.0,10.0,-84.0,,LUC,30.0,Banana,palm,perennial_palm,10.0,10.0,20.0,15.0,0.7633333333333333,,,,,26.866666666666664,1,-0.4333333333333371,-1.5873015873016012,2.0,-3.0,1.0
449,39,139,Costa_rica,Sarapiqui,Tropical,Volcanic,,23.0,4065.0,10.0,-84.0,,LUC,10.0,"Palm,Banana,others",palm,perennial_palm,10.0,10.0,20.0,15.0,0.8266666666666667,,,,,24.6,1,-5.366666666666667,-17.908787541713014,2.0,-1.0,2.0
