Unnamed: 0,ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,TYPE_CHANGE,CROP_current,CROP_type,current_land_use*,LUC_this_study,previous_land_use*,NUM_DEPTH,N_measured_current.1,temperature_Celsiul,precipitation_mm,Latitud,Longitud,years_since_luc,year_measure,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_Mg_ha_previous,SOC_change,SOC_percentage_change,csp_change,luc_rank
66,380,28,107,Germany,Forst,Boreal,,Greysol,LUC,Black_locust,woody,SRC,YES,annual_crop,4,4,8.3,590.0,51.7833,14.616,20.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,10.6,32.7,51.79999999999999,,1.7,0.1833333333333333,4.333333333333333,14.333333333333334,9.333333333333334,1.2333333333333334,10.6,32.7,51.79999999999999,,1.55,-0.1499999999999999,9.677419354838705,2.0,5.0
67,384,28,108,Germany,Forst,Boreal,,Greysol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,8.3,590.0,51.7833,14.616,24.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,10.6,32.7,51.79999999999999,,1.2333333333333334,0.2833333333333332,4.333333333333333,14.333333333333334,9.333333333333334,1.2333333333333334,10.6,32.7,51.79999999999999,,1.29,0.0566666666666666,-4.392764857881136,2.0,5.0
68,410,32,121,UK,south_of_England,Temperate,,Silt_loam,LUC,Willow,woody,SRC,YES,grassland,2,15,10.0,770.0,50.966,-0.45,3.0,2012.0,0.0,30.0,15.0,,7.38,59.44,33.19,,42.6,1.8,0.0,30.0,15.0,,6.43,69.62,23.94,,61.2,18.6,-30.3921568627451,0.0,3.0
69,441,36,133,Spain,Murcia_los_Alguaciles,Arid,,Calcisol,LUC,Almond,woody,food,YES,annual_crop,2,3,16.6,330.0,37.866,-1.716,4.0,,0.0,15.0,7.5,1.08,,,,,43.09,,0.0,15.0,7.5,1.07,,,,,28.73,-14.360000000000005,49.98259658893144,1.0,4.0
70,442,37,134,Spain,Murcia_Cehegin,Arid,,Calcic_Haploxerept,LUC,Almond,woody,food,YES,annual_crop,1,3,16.6,330.0,38.05,-1.716,4.0,,0.0,15.0,7.5,1.09,,,,,42.84,,0.0,15.0,7.5,1.07,,,,,28.73,-14.110000000000005,49.11242603550297,1.0,4.0
71,446,39,138,Costa_rica,Sarapiqui,Tropical,Volcanic,,LUC,Banana,palm,food,YES,natural_forest,3,10,23.0,4065.0,10.0,-84.0,30.0,,10.0,20.0,15.0,0.7633333333333333,,,,,26.866666666666664,1.5666666666666669,10.0,20.0,15.0,0.7066666666666667,,,,,27.3,0.4333333333333371,-1.5873015873016012,-3.0,1.0
72,449,39,139,Costa_rica,Sarapiqui,Tropical,Volcanic,,LUC,"Palm,Banana,others",palm,food,YES,grassland,3,10,23.0,4065.0,10.0,-84.0,10.0,,10.0,20.0,15.0,0.8266666666666667,,,,,24.6,1.1333333333333335,10.0,20.0,15.0,0.7966666666666667,,,,,29.96666666666667,5.366666666666671,-17.908787541713025,-1.0,2.0
73,470,41,149,Ghana,Sefwi_Wiawso,Tropical,,orchosol-oxysol,LUC,Cocoa,woody,food,YES,natural_forest,1,5,26.0,1054.5,6.2,-2.483,2.0,,0.0,15.0,7.5,1.0,5.9,12.0,64.5,5.9,22.6,1.13,0.0,15.0,7.5,,,,,,27.0,4.399999999999999,-16.29629629629629,-3.0,1.0
74,471,41,150,Ghana,Sefwi_Wiawso,Tropical,,orchosol-oxysol,LUC,Cocoa,woody,food,YES,natural_forest,1,5,26.0,1054.5,6.2,-2.483,15.0,,0.0,15.0,7.5,1.0,5.4,12.0,44.5,5.4,17.6,1.4,0.0,15.0,7.5,,,,,,27.0,9.4,-34.81481481481481,-3.0,1.0
75,472,41,151,Ghana,Sefwi_Wiawso,Tropical,,orchosol-oxysol,LUC,Cocoa,woody,food,YES,natural_forest,1,5,26.0,1054.5,6.2,-2.483,,,0.0,15.0,7.5,0.9,5.3,11.5,64.5,5.3,18.2,1.08,0.0,15.0,7.5,,,,,,22.4,4.200000000000003,-18.75000000000001,-3.0,1.0
76,477,43,154,Indonesia,Central_Sulawesi,Tropical,,Cambisol,LUC,Cocoa,woody,food,YES,natural_forest,1,4,23.0,2200.0,-1.3,120.0,10.0,,0.0,20.0,10.0,1.4,,,,4.1,3.37,,0.0,20.0,10.0,1.1,,,,3.8,5.1,1.7299999999999995,-33.921568627450974,-3.0,1.0
77,478,43,155,Indonesia,Central_Sulawesi,Tropical,,Cambisol,LUC,Cocoa,woody,food,YES,natural_forest,1,4,23.0,2200.0,-1.3,120.0,10.0,,0.0,20.0,10.0,1.2,,,,3.8,4.39,,0.0,20.0,10.0,1.1,,,,3.8,5.1,0.71,-13.92156862745098,-3.0,1.0
78,528,48,171,Brazil,Bahia,Tropical,,Oxisol,LUC,Cocoa,woody,food,YES,natural_forest,4,6,26.0,1500.0,-14.0,-39.2,30.0,,5.0,20.0,12.5,0.75,,,,,39.0,5.0,5.0,20.0,12.5,0.68,,,,,30.5,-8.5,27.86885245901639,-3.0,1.0
79,532,48,172,Brazil,Bahia,Tropical,,Oxisol,LUC,Cocoa,woody,food,YES,natural_forest,4,6,26.0,1500.0,-14.0,-39.2,30.0,,5.0,20.0,12.5,1.2,,,,,54.0,10.0,5.0,20.0,12.5,0.68,,,,,30.5,-23.5,77.04918032786885,-3.0,1.0
80,542,49,175,Spain,Jaen_Barranco_del_atanor,Mediterranean,,Haplic_Regosol,LUC,Olive,woody,food,YES,natural_forest,1,1,17.3,470.0,37.77956,-3.3415,16.0,,0.0,24.0,12.0,1.36,40.0,45.0,15.0,8.2,39.7,,0.0,24.0,12.0,,,,,,20.89,-18.81,90.0430828147439,-3.0,1.0
81,543,49,176,Spain,Jaen_Barranco_del_atanor,Mediterranean,,Cutanic_Luvisols,LUC,Olive,woody,food,YES,natural_forest,1,1,17.3,470.0,37.77956,-3.3415,16.0,,0.0,24.0,12.0,1.35,55.0,30.0,15.0,8.0,79.21,,0.0,24.0,12.0,,,,,,51.5,-27.709999999999997,53.80582524271843,-3.0,1.0
82,550,52,183,Italy,Matera_Metapontino,Mediterranean,,Sandy_clay_loam,LUC,Almond,woody,food,YES,fallow,1,1,16.6,462.0,40.3833,16.766,0.6,,0.0,15.0,7.5,1.12,,,,8.4,12.28,,0.0,15.0,7.5,1.3,,,,,14.31,2.030000000000001,-14.18588399720476,1.0,4.0
